selling_price,year,km_driven,fuel,seller_type,transmission,owners,kmpl,engine_cc,power_bhp,seats
450000,2014,145500,Diesel,Individual,Manual,1,23.4,1248,74,5
370000,2014,120000,Diesel,Individual,Manual,2,21.14,1498,103.52,5
158000,2006,140000,Petrol,Individual,Manual,3,17.7,1497,78,5
225000,2010,127000,Diesel,Individual,Manual,1,23,1396,90,5
130000,2007,120000,Petrol,Individual,Manual,1,16.1,1298,88.2,5
440000,2017,45000,Petrol,Individual,Manual,1,20.14,1197,81.86,5
45000,2001,5000,Petrol,Individual,Manual,2,16.1,796,37,4
350000,2011,90000,Diesel,Individual,Manual,1,23.59,1364,67.1,5
200000,2013,169000,Diesel,Individual,Manual,1,20,1399,68.1,5
500000,2014,68000,Diesel,Individual,Manual,2,19.01,1461,108.45,5
92000,2005,100000,Petrol,Individual,Manual,2,17.3,993,60,5
280000,2009,140000,Diesel,Individual,Manual,2,19.3,1248,73.9,5
180000,2009,90000,Petrol,Individual,Manual,2,18.9,1061,67,5
400000,2016,40000,Petrol,Individual,Manual,1,18.15,1198,82,5
778000,2016,70000,Diesel,Individual,Manual,2,24.52,1248,88.5,7
500000,2012,53000,Diesel,Individual,Manual,2,23,1396,90,5
150000,2002,80000,Petrol,Individual,Manual,2,19.7,796,46.3,5
680000,2016,100000,Diesel,Individual,Manual,1,22.54,1396,88.73,5
174000,2011,100000,Diesel,Individual,Manual,2,21,1461,64.1,5
950000,2017,50000,Diesel,Individual,Manual,1,25.5,1498,98.6,5
525000,2015,40000,Diesel,Individual,Manual,1,26.59,1248,74,5
600000,2012,72000,Diesel,Individual,Manual,1,21.5,1248,88.8,5
500000,2018,35000,Petrol,Individual,Manual,1,20.3,1199,83.81,5
575000,2016,45000,Petrol,Individual,Manual,1,21.4,1197,83.1,5
275000,2017,28000,Petrol,Individual,Manual,1,24.7,796,47.3,5
300000,2013,70000,Diesel,Individual,Manual,1,18.2,1248,73.8,7
220000,2009,120000,Petrol,Individual,Manual,1,18.9,1061,67,5
254999,2018,25000,Petrol,Individual,Manual,1,16.8,796,34.2,8
670000,2017,70000,Diesel,Individual,Manual,1,24.3,1248,88.5,5
150000,2012,35000,Petrol,Individual,Manual,2,14,796,35,5
730000,2018,2388,Petrol,Individual,Manual,1,18.6,1197,81.83,5
650000,2017,16200,Diesel,Individual,Manual,1,24.3,1248,88.5,5
366000,2019,15000,Petrol,Individual,Manual,1,23.95,998,67.1,5
1149000,2019,5000,Petrol,Individual,Manual,1,17,1591,121.3,5
150000,2016,42000,Petrol,Individual,Manual,1,20.63,1198,67,5
425000,2011,60000,Diesel,Individual,Manual,2,13.93,2179,138.03,7
150000,2012,76000,Petrol,Individual,Manual,1,16.1,796,37,4
2100000,2019,5000,Petrol,Individual,Automatic,1,16,1368,160.77,5
